WHSE,DSP_LOCN,LOCN_PICK_SEQ,SKU_BRCD
1211,TBDL3,,96150140
1211,TBDL5,,96150205
1211,TBDL5,,96350079
1211,00 L19,,5250337
1211,TBDR24,,59850002
1211,TBDR23,,59600054
1211,TBDR65,,56201313
1211,TBDR60,,56400265
1211,nullR10,,86930562
1211,TBDR10,,59010534
1211,TBDR52,,58050072
1211,TBDR50,,58050066
1211,TBDR53,,58050058
1211,TBDR49,,58050064
1211,TBDR14,,59010530
1211,TBDR16,,59010445
1211,TBDR15,,59010095
1211,TBDR17,,59010529
1211,TBDR19,,59010443
1211,TBDR18,,59010447
1211,TBDR48,,58050051
1211,TBDR12,,59010055
1211,TBDR13,,59010026
1211,00 R8,,3200240
1211,00 R7,,3200069
1211,DLTBD5,,81070250
1211,00 L37,,60100151
1211,00 R17,,31101369
1211,00 R18,,31101594
1211,00 R11,,31100195
1211,00 R21,,31100669
1211,00 R10,,31100194
1211,TBDTBD32,,88560347
1211,TBDL37,,88560347
1211,00 R14,,31101076
1211,00 R16,,31101075
1211,00 R15,,31101074
1211,00 R6,,31100199
1211,00 R19,,31100197
1211,00 R25,,31100165
1211,00 R1,,31100165
1211,00 R17,,31100186
1211,00 R7,,31100154
1211,00 L69,,55052954
1211,TBDR14,,58350339
1211,TBDR59,,58010128
1211,TBDR13,,58350340
1211,TBDR15,,58350096
1211,TBDR60,,58010321
1211,TBDR16,,58350508
1211,TBDR58,,58010113
1211,TBDR18,,58350170
1211,TBDR10,,58350637
1211,TBDR20,,58350171
1211,TBDR12,,58350130
1211,LQR27,,89070499
1211,00 L32,,60100252
1211,00 L33,,60100255
1211,TBDL17,,49050045
1211,00 L40,,60100254
1211,TBDR7,,89056082
1211,DLTBD14,,81060985
1211,TBDL31,,49020573
1211,TBDL4,,49020573
1211,00 R12,,51200244
1211,00 R22,,53450240
1211,PRR4,,84690510
1211,00 R28,,42011569
1211,TBDB4,,97010015
1211,00 L18,,16150105
1211,00 L15,,16150103
1211,00 L14,,16150104
1211,00 L15,,16150100
1211,00 L16,,16150098
1211,00 L17,,16150073
1211,00 L1,,36050251
1211,00 R48,,4100130
1211,00 R47,,4100132
1211,PRTBD13,,84940095
1211,PRTBD12,,84941286
1211,TBDL28,,1010052
1211,TBDL41,,1013422
1211,TBDL45,,1013422
1211,TBDL44,,1013422
1211,TBDL41,,1013422
1211,TBDL42,,1013422
1211,TBDL42,,1013422
1211,00 R5,,1051050
1211,TBDL43,,1013422
1211,TBDL34,,1013422
1211,TBDL1,,1010052
1211,TBDL30,,1010052
1211,TBDL28,,1010052
1211,TBDL28,,1010052
1211,TBDL30,,1010052
1211,TBDL29,,1010052
1211,00 L32,,13900171
1211,00 L19,,11010511
1211,PRTBD4,,84942049
1211,PRL6,,84942049
1211,PRTBD9,,84941922
1211,PRTBD1,,84940534
1211,00 R43,,8250162
1211,00 R41,,3250017
1211,00 R44,,3250091
1211,00 R39,,8250161
1211,00 R42,,3250016
1211,00 R40,,3250153
1211,TBDL14,,62101692
1211,00 R45,,3250057
1211,00 R48,,3250738
1211,00 R47,,3250126
1211,00 R46,,3250011
1211,TBDL19,,59400022
1211,DLR17,,81060930
1211,DLR23,,82043943
1211,DLR24,,82045219
1211,DLR25,,82045220
1211,DLR71,,82042239
1211,DLR27,,82045299
1211,DLR91,,82040302
1211,DLR69,,82042238
1211,DLR1,,82042264
1211,DLR54,,82044716
1211,00 R29,,89016856
1211,DLL33,,82044234
1211,00 L17,,19050845
1211,DLL32,,82041716
1211,00 L23,,19050923
1211,00 L17,,32040339
1211,00 L23,,32010152
1211,00 L19,,32010149
1211,00 L3,,32010305
1211,00 L28,,32010151
1211,00 L8,,32020269
1211,00 L2,,32010046
1211,00 L15,,32010153
1211,00 L16,,32040294
1211,00 L13,,32040409
1211,00 L29,,32040410
1211,00 L9,,27202849
1211,00 L16,,27202852
1211,00 L33,,8051014
1211,00 L31,,8051011
1211,00 L35,,8051013
1211,00 L34,,8051009
1211,00 F7,,75700338
1211,00 B7,,75700338
1211,00 B4,,75700337
1211,00 F4,,75700337
1211,00 F5,,75700340
1211,00 B5,,75700340
1211,TBDL52,,57500261
1211,TBDL53,,57500050
1211,TBDB47,,1011102
1211,TBDB45,,1011102
1211,TBDB50,,1011102
1211,TBDL37,,1011102
1211,TBDB46,,1011102
1211,TBDB48,,1011102
1211,TBDB48,,1011102
1211,TBDB46,,1011129
1211,TBDB49,,1011129
1211,TBDB51,,1011129
1211,TBDB47,,1011129
1211,TBDB47,,1011129
1211,TBDB49,,1011129
1211,TBDB46,,1011129
1211,TBDB50,,1011045
1211,TBDB49,,1010194
1211,TBDB52,,1011045
1211,TBDB52,,1011045
1211,TBDB53,,1010194
1211,TBDB50,,1010194
1211,TBDB52,,1011045
1211,TBDB48,,1011045
1211,TBDB48,,1010194
1211,TBDB49,,1011045
1211,TBDL40,,1011045
1211,TBDL39,,1010194
1211,TBDB50,,1011045
1211,TBDB48,,1010194
1211,TBDB50,,1010194
1211,TBDB51,,1010431
1211,TBDB53,,1010431
1211,TBDB49,,1010431
1211,TBDL41,,1010431
1211,TBDB51,,1010431
1211,TBDB53,,1010431
1211,TBDB50,,1010431
1211,TBDB54,,1010431
1211,TBDB37,,1010826
1211,TBDB36,,1010827
1211,TBDB35,,1010826
1211,TBDB36,,1010827
1211,TBDB37,,1010826
1211,TBDB38,,1010826
1211,TBDB36,,1010826
1211,TBDB38,,1010827
1211,TBDB36,,1010826
1211,TBDB38,,1010826
1211,TBDB37,,1010827
1211,TBDB35,,1010827
1211,TBDL38,,1012775
1211,TBDB47,,1012775
1211,TBDB51,,1012775
1211,TBDB48,,1012775
1211,TBDB51,,1012775
1211,TBDB49,,1012775
1211,TBDR12,,89061227
1211,DLR10,,82041202
1211,DLR70,,82041202
1211,00 L59,,14150943
1211,00 R7,,52251148
1211,TBDL4,,95200404
1211,TBDL9,,95200493
1211,TBDL5,,94010117
1211,TBDL15,,94100274
1211,TBDL2,,95200506
1211,TBDL10,,95200425
1211,00 L25,,64100074
1211,00 L20,,64050226
1211,00 L14,,63050032
1211,00 L16,,63150010
1211,00 L36,,64200089
1211,00 L35,,64200086
1211,00 L34,,64200219
1211,00 L22,,64100033
1211,00 L18,,64100136
1211,00 L8,,64100100
1211,00 L12,,64100116
1211,00 L7,,64100125
1211,00 L13,,64100117
1211,00 L18,,64100621
1211,00 L30,,64100621
1211,00 L17,,63010005
1211,00 L18,,63010020
1211,00 L24,,64050229
1211,00 L21,,64050230
1211,00 L29,,64100241
1211,00 L6,,64100168
1211,00 L8,,64100501
1211,00 L5,,64100510
1211,00 L1,,64100508
1211,00 L3,,64100312
1211,00 L13,,63050048
1211,00 L22,,63050044
1211,00 L12,,64100065
1211,00 L5,,64100315
1211,00 L11,,64100076
1211,00 L23,,64100063
1211,00 L28,,64100506
